anio,mes,fecha_referencia,hora_retiro,genero,rango_edad,viajes
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,21 - 30 años,240
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,31 - 40 años,314
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,41 - 50 años,239
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,51 - 60 años,115
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,61 - 70 años,34
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,71 - 80 años,5
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,10 - 20 años,7
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,21 - 30 años,105
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,31 - 40 años,117
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,41 - 50 años,35
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,51 - 60 años,25
2010,Marzo,2010-03-31,12:00:00 hrs,Mujer,61 - 70 años,1
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,10 - 20 años,20
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,21 - 30 años,334
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,31 - 40 años,372
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,41 - 50 años,238
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,51 - 60 años,115
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,61 - 70 años,26
2010,Marzo,2010-03-31,13:00:00 hrs,Hombre,71 - 80 años,3
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,10 - 20 años,4
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,21 - 30 años,127
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,31 - 40 años,124
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,41 - 50 años,36
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,51 - 60 años,28
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,61 - 70 años,2
2010,Marzo,2010-03-31,13:00:00 hrs,Mujer,71 - 80 años,1
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,10 - 20 años,14
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,21 - 30 años,453
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,31 - 40 años,524
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,41 - 50 años,281
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,51 - 60 años,159
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,61 - 70 años,38
2010,Marzo,2010-03-31,14:00:00 hrs,Hombre,71 - 80 años,3
2010,Marzo,2010-03-31,14:00:00 hrs,Mujer,10 - 20 años,15
2010,Marzo,2010-03-31,14:00:00 hrs,Mujer,21 - 30 años,175
2010,Marzo,2010-03-31,14:00:00 hrs,Mujer,31 - 40 años,144
2010,Marzo,2010-03-31,14:00:00 hrs,Mujer,41 - 50 años,56
2010,Marzo,2010-03-31,14:00:00 hrs,Mujer,51 - 60 años,37
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,10 - 20 años,19
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,21 - 30 años,496
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,31 - 40 años,505
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,41 - 50 años,264
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,51 - 60 años,132
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,61 - 70 años,22
2010,Marzo,2010-03-31,15:00:00 hrs,Hombre,71 - 80 años,2
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,10 - 20 años,7
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,21 - 30 años,213
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,31 - 40 años,154
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,41 - 50 años,45
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,51 - 60 años,37
2010,Marzo,2010-03-31,15:00:00 hrs,Mujer,71 - 80 años,2
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,10 - 20 años,20
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,21 - 30 años,394
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,31 - 40 años,421
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,41 - 50 años,225
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,51 - 60 años,89
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,61 - 70 años,22
2010,Marzo,2010-03-31,16:00:00 hrs,Hombre,71 - 80 años,2
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,10 - 20 años,2
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,21 - 30 años,125
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,31 - 40 años,100
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,41 - 50 años,38
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,51 - 60 años,26
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,61 - 70 años,1
2010,Marzo,2010-03-31,16:00:00 hrs,Mujer,71 - 80 años,3
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,10 - 20 años,19
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,21 - 30 años,299
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,31 - 40 años,333
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,41 - 50 años,179
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,51 - 60 años,100
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,61 - 70 años,19
2010,Marzo,2010-03-31,17:00:00 hrs,Hombre,71 - 80 años,1
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,10 - 20 años,9
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,21 - 30 años,125
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,31 - 40 años,93
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,41 - 50 años,42
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,51 - 60 años,18
2010,Marzo,2010-03-31,17:00:00 hrs,Mujer,71 - 80 años,2
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,10 - 20 años,23
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,21 - 30 años,466
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,31 - 40 años,462
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,41 - 50 años,187
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,51 - 60 años,109
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,61 - 70 años,15
2010,Marzo,2010-03-31,18:00:00 hrs,Hombre,71 - 80 años,5
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,10 - 20 años,4
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,21 - 30 años,177
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,31 - 40 años,124
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,41 - 50 años,45
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,51 - 60 años,31
2010,Marzo,2010-03-31,18:00:00 hrs,Mujer,61 - 70 años,1
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,10 - 20 años,29
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,21 - 30 años,398
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,31 - 40 años,455
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,41 - 50 años,200
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,51 - 60 años,91
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,61 - 70 años,12
2010,Marzo,2010-03-31,19:00:00 hrs,Hombre,71 - 80 años,5
2010,Marzo,2010-03-31,19:00:00 hrs,Mujer,10 - 20 años,8
2010,Marzo,2010-03-31,19:00:00 hrs,Mujer,21 - 30 años,222
2010,Marzo,2010-03-31,19:00:00 hrs,Mujer,31 - 40 años,94
2010,Marzo,2010-03-31,19:00:00 hrs,Mujer,41 - 50 años,41
2010,Marzo,2010-03-31,19:00:00 hrs,Mujer,51 - 60 años,20
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,10 - 20 años,26
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,21 - 30 años,362
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,31 - 40 años,369
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,41 - 50 años,182
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,51 - 60 años,62
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,61 - 70 años,9
2010,Marzo,2010-03-31,20:00:00 hrs,Hombre,71 - 80 años,4
2010,Marzo,2010-03-31,20:00:00 hrs,Mujer,10 - 20 años,9
2010,Marzo,2010-03-31,20:00:00 hrs,Mujer,21 - 30 años,154
2010,Marzo,2010-03-31,20:00:00 hrs,Mujer,31 - 40 años,87
2010,Marzo,2010-03-31,20:00:00 hrs,Mujer,41 - 50 años,33
2010,Marzo,2010-03-31,20:00:00 hrs,Mujer,51 - 60 años,13
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,10 - 20 años,21
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,21 - 30 años,272
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,31 - 40 años,239
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,41 - 50 años,138
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,51 - 60 años,63
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,61 - 70 años,5
2010,Marzo,2010-03-31,21:00:00 hrs,Hombre,71 - 80 años,2
