sistema,num_cicloestacion,nombre,calle_principal,calle_secundaria,colonia,alcaldia,latitud,longitud,tipo_ce,candados
ECOBICI,370,Tlacoquemécatl - Insurgentes,Tlacoquemécatl,Insurgentes,Tlacoquemécatl del Valle,BENITO JUAREZ,19.378827,-99.176944,3G,30
ECOBICI,370,Tlacoquemécatl - Capulín,Tlacoquemécatl,Capulín,Tlacoquemécatl del Valle,BENITO JUAREZ,19.378546,-99.174297,3G,21
ECOBICI,372,Dr. Roberto Gayol - Tlacoquemécatl,Dr. Roberto Gayol,Tlacoquemécatl,Del Valle Sur,BENITO JUAREZ,19.377966,-99.170272,4G,21
ECOBICI,373,Pilares - Gabriel Mancera,Pilares,Gabriel Mancera,Del valle Centro,BENITO JUAREZ,19.377932,-99.166594,3G,18
ECOBICI,374,Pitágoras - Pilares,Pitágoras,Pilares,Del valle Centro,BENITO JUAREZ,19.376918,-99.16108,4G,30
ECOBICI,375,Tenayuca - División del Norte,Tenayuca,División del Norte,Letrán Valle,BENITO JUAREZ,19.376997,-99.158779,3G,24
ECOBICI,376,Pitágoras - Avenida Universidad,Pitágoras,Avenida Universidad,Letrán Valle,BENITO JUAREZ,19.375332,-99.161607,3G,27
ECOBICI,377,Heriberto Frías - Miguel Laurent,Heriberto Frías,Miguel Laurent,Del Valle Sur,BENITO JUAREZ,19.375397,-99.163778,3G,36
ECOBICI,378,Miguel Laurent - Amores,Miguel Laurent,Amores,Del Valle Sur,BENITO JUAREZ,19.375865,-99.168219,3G,30
ECOBICI,379,Dr. Roberto Gayol - Miguel Laurent,Dr. Roberto Gayol,Miguel Laurent,Del Valle Sur,BENITO JUAREZ,19.375951,-99.170776,3G,36
ECOBICI,380,Moras - San Lorenzo,Moras,San Lorenzo,Tlacoquemécatl del Valle,BENITO JUAREZ,19.374756,-99.173539,3G,27
ECOBICI,381,San Lorenzo - Manzanas,San Lorenzo,Manzanas,Tlacoquemécatl del Valle,BENITO JUAREZ,19.375495,-99.177819,3G,27
ECOBICI,382,San Lorenzo - Insurgentes,San Lorenzo,Insurgentes,Tlacoquemécatl del Valle,BENITO JUAREZ,19.375531,-99.178051,3G,24
ECOBICI,383,Luis Carracci - 2da. cda. de Luis Carracci,Luis Carracci,2da. cda. de Luis Carracci,Extremadura Insurgentes,BENITO JUAREZ,19.375743,-99.181512,3G,15
ECOBICI,384,Empresa - Poussin,Empresa,Poussin,Insurgentes Mixcoac,BENITO JUAREZ,19.375865,-99.185573,3G,21
ECOBICI,385,Poussin - Empresa,Poussin,Empresa,Insurgentes Mixcoac,BENITO JUAREZ,19.375806,-99.185527,4G,36
