id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
937,95,1520,15,JOSE LORETO FABELA,PUERTO TAMPICO,,1,25,1,9005,SAN FELIPE,16,CIRCUITO INTERIOR,5,9005,SAN JUAN DE ARAGON,,,3,10,18,15,18,35,2,0.0,,2,0.0,,2.0,4,2,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,1,8,4,1,999999,999999,9,1,2,4,1,2,2,2,2,2,2,2,4,79.95
938,128,2030,10,AVILA CAMACHO,5,,1,44,1,9007,LA ESPERANZA,SIMILARES,,4,9007,LOPEZ PORTILLO,,,5,4,16,50,17,8,1,1.0,4.0,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,1,8,5,4,30,5000,3,1,2,4,2,2,2,2,2,2,2,2,3,122.17
939,130,2056,20,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,50,1,9007,POLVORIA,BAZAR,TIENDA,2,9007,10 DE MAYO,COMPRAN CARBON,FERRETERIA,1,1,13,20,13,30,2,0.0,,2,0.0,,1.0,1,4,3,1,1,2,2,2,2,1,1,2,2,2,,,,1,1.0,2,4,3,3,50,1500,2,1,2,2,1,2,2,2,2,2,2,2,4,51.3
940,130,2068,32,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,38,1,9007,TLAHUAC,FABRICA DE POPOTES,,2,9007,DEGOLLADO,ABARROTES,,4,1,16,0,16,40,2,0.0,,2,0.0,,2.0,2,1,3,2,1,1,1,2,2,1,1,1,1,2,,,,1,1.0,1,3,2,6,500,999999,9,1,2,2,1,2,2,2,2,2,2,2,4,51.3
941,130,2053,17,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,16,2,9007,MAGALLERA,FERRETERIA,,4,9007,HEROES,ESCUELA PRIMARIA,KINDER,3,4,12,22,12,36,2,0.0,,2,0.0,,2.0,4,4,4,4,3,2,2,2,1,1,1,1,1,2,,,,2,,1,4,3,3,500,5000,3,1,2,2,1,2,2,2,2,2,2,2,4,51.3
942,131,2081,3,AV DEL ARBOL,CHINARA,,1,49,1,9007,CARLOS,,,2,9007,TRIANGULO,,,4,1,9,30,9,53,2,0.0,,2,0.0,,1.0,4,4,4,4,7,1,1,2,2,1,1,1,1,1,2.0,3.0,2.0,1,2.0,1,3,2,6,20,2800,2,1,2,2,2,2,1,2,2,2,2,1,4,52.82
943,132,2126,29,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,48,2,9007,PALMITAS,,,1,9007,DESARROLLO URBANO,,,5,2,13,0,14,40,1,4.0,2.0,1,2.0,6.0,2.0,3,4,4,4,10,2,2,2,2,2,2,2,2,1,3.0,3.0,2.0,1,2.0,1,3,1,4,200,999999,9,1,2,4,2,2,2,2,2,2,2,2,4,34.01
944,132,2118,21,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,69,2,9007,UNIDAD HABITACIONAL LA ERA,,,1,9007,XAVELQUI,DESARROLLO URBANO QUETZALCOATL,,5,2,11,45,12,30,2,0.0,,2,0.0,,1.0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,,,,1,1.0,1,1,1,0,50,1800,2,1,2,4,2,2,2,2,2,2,2,2,4,34.01
945,134,2145,2,CARRIL,CAPULIN,,1,28,1,9007,GUADALUPE,,,4,9007,SN MIGUEL,,,4,4,10,0,10,27,2,0.0,,2,0.0,,1.0,3,3,3,3,4,2,2,2,2,2,2,2,2,2,,,,2,,1,4,2,1,0,6000,3,1,2,4,2,2,2,2,2,2,2,2,6,21.08
946,138,2165,5,AV. SAN JERONIMO,AV. OJO DE AGUA,,1,14,3,9008,SAN BERNABE,,,1,9008,SAN BERNABE,,,5,5,10,4,10,14,1,4.0,1.0,1,4.0,6.0,1.0,4,2,4,4,2,2,1,2,2,2,2,1,2,1,2.0,3.0,2.0,2,,1,4,2,2,300,1000,1,1,2,1,2,2,2,2,2,2,2,1,4,8.66
