short_name,origin,destination,global_events,lat,lon,capacity
039,15646.0,15679,31325.0,19.421762,-99.166931,23
398,15584.0,15705,31289.0,19.37104,-99.165653,27
323,15287.0,15800,31087.0,19.388986312246836,-99.1632449628014,27
172,15361.0,15688,31049.0,19.403507124790526,-99.18165966879315,19
554,14469.0,16434,30903.0,19.4417473,-99.155639,27
498,15797.0,14888,30685.0,19.453146248510524,-99.16645511990282,37
432,15988.0,14575,30563.0,19.361245,-99.16239,35
093,16687.0,13734,30421.0,19.436741,-99.134811,35
249,14599.0,15816,30415.0,19.42988388240091,-99.1775936633894,15
409,16406.0,13935,30341.0,19.3650233,-99.1554899,23
100,16006.0,14206,30212.0,19.428485,-99.1338,23
316,14476.0,15557,30033.0,19.391056,-99.1712,27
265,14547.0,15237,29784.0,19.440839,-99.152265,33
138,15383.0,14297,29680.0,19.417702,-99.155313,27
216,14062.0,15488,29550.0,19.433419,-99.195746,27
321,15340.0,14117,29457.0,19.389477,-99.157513,27
210,12010.0,17432,29442.0,19.434076,-99.194091,27
292,14753.0,14621,29374.0,19.396917,-99.166264,31
322,14500.0,14613,29113.0,19.388456876549792,-99.16064277296753,27
424,14304.0,14767,29071.0,19.367103332434564,-99.17058136315518,11
298,14128.0,14832,28960.0,19.394092,-99.162139,19
176,15768.0,13123,28891.0,19.442717,-99.152262,39
241,13373.0,15476,28849.0,19.43869310388943,-99.20757338410112,19
656,15436.0,13098,28534.0,19.3543111,-99.1624361,35
485,13885.0,14646,28531.0,19.438506,-99.172696,23
499,14609.0,13895,28504.0,19.455986,-99.165966,39
387,13799.0,14697,28496.0,19.374267,-99.180546,19
468,14024.0,14442,28466.0,19.437250121513653,-99.1795731336424,33
413,13741.0,14702,28443.0,19.369823,-99.172164,35
318,13508.0,14898,28406.0,19.392195,-99.163987,23
358,13733.0,14653,28386.0,19.380087,-99.16427,23
334,13849.0,14095,27944.0,19.386530826718293,-99.17510658508034,27
378,13833.0,13940,27773.0,19.375865,-99.168219,31
201,13362.0,14362,27724.0,19.437496732030738,-99.18721206491682,19
324,13504.0,14034,27538.0,19.387342,-99.165629,19
209,13536.0,13992,27528.0,19.435478,-99.206359,19
425,14240.0,12828,27068.0,19.36704,-99.167387,35
304,14335.0,12683,27018.0,19.395043,-99.173821,35
251,12365.0,14598,26963.0,19.429261,-99.17538,15
098,14193.0,12725,26918.0,19.430267,-99.14861,31
479,12371.0,14477,26848.0,19.444433,-99.179664,25
545,12603.0,14229,26832.0,19.449098384943877,-99.15995210414621,27
421,12848.0,13734,26582.0,19.36952,-99.179421,31
348,12419.0,14095,26514.0,19.38542,-99.17823,19
415,12842.0,13594,26436.0,19.37099,-99.176135,27
153,12181.0,14205,26386.0,19.407468,-99.165141,23
309,12131.0,14243,26374.0,19.393059,-99.179483,31
104,12913.0,13459,26372.0,19.427059,-99.137116,11
343,12747.0,13504,26251.0,19.384086716282237,-99.16083633910603,15
667,13332.0,12788,26120.0,19.363955445342725,-99.1807891801136,23
335,13258.0,12849,26107.0,19.386989,-99.173438,35
296,12746.0,12661,25407.0,19.394283,-99.158756,23
326,13521.0,11875,25396.0,19.388978,-99.174811,35
294,12429.0,12935,25364.0,19.39644167553825,-99.16090227668974,21
359,12056.0,13240,25296.0,19.379331,-99.161163,31
477,11905.0,13340,25245.0,19.440905,-99.181743,23
178,11932.0,13103,25035.0,19.406833,-99.180457,23
215,11285.0,13583,24868.0,19.43384,-99.19968,23
451,9803.0,15059,24862.0,19.428847,-99.201299,33
349,10886.0,13761,24647.0,19.385632,-99.180848,19
428,12397.0,12229,24626.0,19.363404,-99.160395,27
328,11285.0,13197,24482.0,19.392721,-99.184727,15
481,11885.0,12588,24473.0,19.449367,-99.182461,19
347,11759.0,12551,24310.0,19.384474,-99.176084,19
331,10427.0,13645,24072.0,19.388748,-99.183924,27
277,11805.0,11990,23795.0,19.401807,-99.15909,31
196,11062.0,12613,23675.0,19.438349,-99.192904,27
659,12060.0,11468,23528.0,19.3564861,-99.1694556,23
414,11357.0,12066,23423.0,19.370213835587535,-99.17385498530166,27
336,11394.0,11910,23304.0,19.385531,-99.169673,25
229,10432.0,12859,23291.0,19.430515,-99.203331,23
402,10979.0,12156,23135.0,19.370934360592926,-99.15874142201119,27
244,10564.0,12316,22880.0,19.440508,-99.193681,23
332,10072.0,12669,22741.0,19.385494,-99.183744,23
404,11258.0,11451,22709.0,19.373833,-99.157433,31
543,10546.0,11960,22506.0,19.450506,-99.157375,27
199,10676.0,11644,22320.0,19.437934,-99.197241,23
202,10646.0,11290,21936.0,19.436064000000002,-99.198898,19
301,9867.0,12018,21885.0,19.393807,-99.171133,25
338,10705.0,11107,21812.0,19.384242,-99.16326,27
363,10497.0,11217,21714.0,19.380839,-99.183932,23
367,9859.0,11684,21543.0,19.379593,-99.181351,19
094,10989.0,10458,21447.0,19.433766,-99.130918,23
669,9942.0,11479,21421.0,19.37076863433144,-99.1873613745247,23
227,9888.0,11513,21401.0,19.431783492215445,-99.20738060028725,23
333,9061.0,12334,21395.0,19.387624,-99.180978,23
373,10496.0,10619,21115.0,19.377932,-99.166594,19
345,9914.0,11190,21104.0,19.384447,-99.172039,23
504,10465.0,10546,21011.0,19.455343,-99.179056,27
314,9932.0,11075,21007.0,19.391647,-99.177331,19
396,9919.0,10605,20524.0,19.37165,-99.17015,19
417,9179.0,11331,20510.0,19.373198,-99.184274,27
339,9518.0,10892,20410.0,19.386212,-99.160583,23
392,9974.0,10408,20382.0,19.373004,-99.174764,19
352,9434.0,10860,20294.0,19.384146,-99.185491,31
230,9889.0,10244,20133.0,19.430098,-99.200074,15
330,8591.0,11465,20056.0,19.389358,-99.182606,19
361,9522.0,10492,20014.0,19.380691,-99.175036,27
441,10304.0,9677,19981.0,19.361213660076572,-99.16772089901315,31
319,8869.0,10870,19739.0,19.391991,-99.162684,27
356,9818.0,9906,19724.0,19.381287,-99.1702,15
371,9602.0,10062,19664.0,19.378546,-99.174297,23
198,10003.0,9630,19633.0,19.438173973703993,-99.20383617292828,25
395,9662.0,9812,19474.0,19.373725,-99.169807,31
366,9048.0,10395,19443.0,19.378423,-99.181891,19
438,9058.0,10380,19438.0,19.36473,-99.174447,23
502,9448.0,9888,19336.0,19.453432,-99.174636,35
494,8987.0,10338,19325.0,19.444053,-99.167429,22
672,10125.0,9071,19196.0,19.36295,-99.183161,31
486,9111.0,10072,19183.0,19.437334,-99.169573,23
307,8711.0,10366,19077.0,19.393711808925048,-99.17581468826029,27
434,9161.0,9910,19071.0,19.363698614576656,-99.17118497195588,27
496,9179.0,9812,18991.0,19.449039,-99.170246,35
420,8914.0,10010,18924.0,19.36967233269665,-99.17958118026945,23
660,9847.0,9041,18888.0,19.3580028,-99.1701056,27
469,8842.0,10042,18884.0,19.434183,-99.173089,27
297,8870.0,9690,18560.0,19.394412,-99.158907,27
563,9023.0,9397,18420.0,19.419444,-99.149776,23
454,6550.0,11782,18332.0,19.425905,-99.204236,15
357,9043.0,9269,18312.0,19.380617,-99.167066,23
401,8987.0,9103,18090.0,19.372101,-99.161501,31
673,8539.0,9538,18077.0,19.363153,-99.186963,35
220,7965.0,9942,17907.0,19.432655,-99.205727,27
597,9203.0,8625,17828.0,19.398858,-99.151211,27
456,6838.0,10947,17785.0,19.427517,-99.208412,27
313,7892.0,9508,17400.0,19.391431,-99.178989,23
213,6766.0,10474,17240.0,19.434366028509015,-99.206306487431,27
279,8030.0,9131,17161.0,19.399908,-99.166553,31
407,8311.0,8798,17109.0,19.36726591257277,-99.15865559132271,19
560,8425.0,8513,16938.0,19.421599,-99.143408,27
380,8053.0,8842,16895.0,19.374756,-99.173539,23
471,7763.0,8894,16657.0,19.436287,-99.174888,19
355,8269.0,8292,16561.0,19.38201131984727,-99.17328938847277,19
430,8733.0,7811,16544.0,19.36205,-99.154976,23
090,8710.0,7788,16498.0,19.43144,-99.132513,27
386,6933.0,9445,16378.0,19.374912,-99.185807,39
429,7584.0,8162,15746.0,19.363060918104924,-99.15833439679318,19
362,6773.0,8941,15714.0,19.382123281154726,-99.18109126394484,19
540,7304.0,8310,15614.0,19.453965040246473,-99.15246807044241,23
457,5994.0,9584,15578.0,19.42703,-99.212845,17
342,7457.0,7706,15163.0,19.38237,-99.1598779,31
416,6752.0,8410,15162.0,19.371279,-99.177623,27
436,7250.0,7585,14835.0,19.36623,-99.177904,30
491,6974.0,7755,14729.0,19.449405,-99.176635,23
453,5629.0,9092,14721.0,19.424842,-99.203739,31
353,6277.0,8183,14460.0,19.3823345657493,-99.17888358246273,23
670,6427.0,8026,14453.0,19.3676,-99.1849917,23
433,6793.0,7631,14424.0,19.363548,-99.170766,19
497,7269.0,6564,13833.0,19.452688,-99.170157,51
507,7238.0,6583,13821.0,19.460292,-99.188303,31
437,6300.0,6836,13136.0,19.364916,-99.175985,19
463,6510.0,6574,13084.0,19.443228,-99.202492,27
203,5552.0,7140,12692.0,19.435985,-99.194832,23
615,6291.0,6204,12495.0,19.38748,-99.153876,31
483,5771.0,6680,12451.0,19.443092,-99.177612,23
626,5950.0,6256,12206.0,19.382115,-99.153988,27
443,6133.0,6066,12199.0,19.359583,-99.162085,31
584,6235.0,5946,12181.0,19.40697,-99.14383,31
245,5336.0,6828,12164.0,19.438347,-99.190503,21
564,5867.0,6194,12061.0,19.419509,-99.153227,23
657,6364.0,5671,12035.0,19.3574361,-99.1637944,19
592,6071.0,5753,11824.0,19.399664,-99.145136,27
423,5132.0,6465,11597.0,19.367816,-99.175269,23
346,5491.0,5819,11310.0,19.38496594717172,-99.17411729704327,26
618,5551.0,5596,11147.0,19.381824,-99.148086,31
688,5413.0,5414,10827.0,19.346975,-99.178791,33
